County,poverty(percent)
Alameda,8.9
Alpine,17.2
Amador,9.8
Butte,16.1
Calaveras,12.1
Colusa,12
Contra Costa,7.9
Del Norte,17.9
El Dorado,8.7
Fresno,20.5
Glenn,12.1
Humboldt,19.1
Imperial,22
Inyo,11.7
Kern,19
Kings,16
Lake,18.3
Lassen,16.5
Los Angeles,13.4
Madera,17.6
Marin,6.9
Mariposa,15.1
Mendocino,14
Merced,17
Modoc,20.5
Mono,10.1
Monterey,12.6
Napa,7.4
Nevada,9.4
Orange,9.5
Placer,6.6
Plumas,13.2
Riverside,11.3
Sacramento,12.6
San Benito,10.4
San Bernardino,13.3
San Diego,10.3
San Francisco,9.5
San Joaquin,13.6
San Luis Obispo,11.6
San Mateo,6.1
Santa Barbara,12
Santa Clara,6.1
Santa Cruz,10.6
Shasta,13.3
Sierra,12.7
Siskiyou,17.4
Solano,9
Sonoma,7.2
Stanislaus,13
Sutter,12.8
Tehama,16.3
Trinity,16.5
Tulare,18.9
Tuolumne,11.3
Ventura,8.2
Yolo,16.9
Yuba,15.2
