County,Unemployment(2019)
Alameda,2.9
Alpine,5.1
Amador,3.8
Butte,5.1
Calaveras,3.8
Colusa,12.8
Contra Costa,3.1
Del Norte,5.7
El Dorado,3.5
Fresno,7.2
Glenn,6.1
Humboldt,3.6
Imperial,18.3
Inyo,3.5
Kern,7.7
Kings,7.9
Lake,5
Lassen,4.6
Los Angeles,4.4
Madera,6.9
Marin,2.3
Mariposa,4.6
Mendocino,4
Merced,8.1
Modoc,7.1
Mono,3.7
Monterey,6.2
Napa,2.8
Nevada,3.3
Orange,2.8
Placer,3.1
Plumas,7.7
Riverside,4.2
Sacramento,3.7
San Benito,5
San Bernardino,3.8
San Diego,3.2
San Francisco,2.2
San Joaquin,5.9
San Luis Obispo,2.9
San Mateo,2
Santa Barbara,3.7
Santa Clara,2.5
Santa Cruz,4.7
Shasta,4.7
Sierra,5.4
Siskiyou,6.5
Solano,3.7
Sonoma,2.7
Stanislaus,6
Sutter,7.3
Tehama,5.5
Trinity,5.5
Tulare,9.6
Tuolumne,4.5
Ventura,3.6
Yolo,4.1
Yuba,6.1
