County,Single Family,Multi-Family,Mobile Homes
Alameda,363747,230442,7858
Alpine,1068,676,34
Amador,15495,1306,1420
Butte,65072,20040,14241
Calaveras,24760,1068,2246
Colusa,6147,1212,792
Contra Costa,308117,98524,7282
Del Norte,7162,1620,2540
El Dorado,76424,11200,4121
Fresno,232415,84742,14894
Glenn,8169,1589,1412
Humboldt,44734,12000,6136
Imperial,37656,12461,7620
Inyo,5859,1081,2582
Kern,220307,54934,23060
Kings,35768,8401,2001
Lake,23860,2754,7946
Lassen,9375,1050,2331
Los Angeles,1958952,1529622,58289
Madera,40898,5993,3424
Marin,80014,30293,1986
Mariposa,7226,838,2385
Mendocino,29748,5348,5464
Merced,65103,15159,5665
Modoc,4052,280,936
Mono,5778,7233,1050
Monterey,97610,36991,5729
Napa,40433,10923,3801
Nevada,45375,5194,3176
Orange,681362,379292,33505
Placer,133235,27311,4274
Plumas,12660,998,2192
Riverside,626015,135250,79639
Sacramento,403861,151564,14880
San Benito,15518,2564,853
San Bernardino,536588,139442,43881
San Diego,723430,440623,46085
San Francisco,125453,271028,602
San Joaquin,190027,44666,8727
San Luis Obispo,89233,21670,10758
San Mateo,181722,93152,3170
Santa Barbara,102915,47620,8087
Santa Clara,414067,234983,18920
Santa Cruz,76096,22628,6922
Shasta,57355,12631,8759
Sierra,2142,106,97
Siskiyou,17346,3245,3594
Solano,120580,33608,4598
Sonoma,152015,40119,11445
Stanislaus,143415,29885,8616
Sutter,25947,6895,1521
Tehama,18199,3118,6319
Trinity,6043,616,2233
Tulare,117169,21540,10633
Tuolumne,25434,2671,3468
Ventura,216334,60896,11349
Yolo,50840,22750,3548
Yuba,20395,5018,2911
