County,population
Alameda,1656754
Alpine,1039
Amador,38429
Butte,225817
Calaveras,45514
Colusa,21454
Contra Costa,1142251
Del Norte,27495
El Dorado,188563
Fresno,984521
Glenn,27976
Humboldt,135940
Imperial,180701
Inyo,17977
Kern,887641
Kings,150691
Lake,64195
Lassen,30818
Los Angeles,10081570
Madera,155433
Marin,259943
Mariposa,17420
Mendocino,87224
Merced,271382
Modoc,8907
Mono,14310
Monterey,433410
Napa,139623
Nevada,99244
Orange,3168044
Placer,385512
Plumas,18660
Riverside,2411439
Sacramento,1524553
San Benito,60376
San Bernardino,2149031
San Diego,3316073
San Francisco,874961
San Joaquin,742603
San Luis Obispo,282165
San Mateo,767423
Santa Barbara,444829
Santa Clara,1927470
Santa Cruz,273962
Shasta,179212
Sierra,3040
Siskiyou,43468
Solano,441829
Sonoma,499772
Stanislaus,543194
Sutter,96109
Tehama,63912
Trinity,12700
Tulare,461898
Tuolumne,54045
Ventura,847263
Yolo,217352
Yuba,76360
